handle	created_at	text
DHS_Wolf	2020-03-26 15:49:34	federal state local response spread coronavirus us necessitates delay deadline state local partners working tirelessly admin flattenthecurve want remove impediments response recovery efforts
DHS_Wolf	2020-03-26 15:49:33	thread due circumstances resulting coronavirus pandemic national emergency declaration directed president extending real id enforcement deadline beyond current october deadline
DHS_Wolf	2020-03-26 13:35:39	conducting ongoing coronavirus research help country fight pandemic
DHS_Wolf	2020-03-25 14:27:22	thank incredible business community support american people coronavirus pandemic overwhelmingly positive response american companies wanting help kind donations contracts cut-rate prices
DHS_Wolf	2020-03-24 19:07:00	questions recent border measures taken prevent spread coronavirus answers
DHS_Wolf	2020-03-24 17:48:01	chance thank southwest border sheriffs today continued partnership work every day keep communities safe forefront aggressive proactive measures taking stop coronavirus
DHS_Wolf	2020-03-23 20:47:57	hearing coronavirus information friends stick facts official sources help keep family safe check rumor control page
DHS_Wolf	2020-03-22 12:52:08	january president took immediate decisive action implement travel restrictions prevent spread coronavirus today conducted enhanced medical screenings americans returning home impacted areas
DHS_Wolf	2020-03-22 11:34:07	tune sunday morning futures 10am discuss joint measures usa mexico canada implementing borders protect citizens coronavirus still allow essential trade travel
DHS_Wolf	2020-03-21 16:28:14	tune covid19 task force press briefing pm est delivering live updates alongside presi
DHS_Wolf	2020-03-21 15:50:06	men women fully activated working governors states territories coordinate federal response coronavirus
DHS_Wolf	2020-03-21 13:07:11	january president took immediate decisive action implement travel restrictions prevent spread coronavirus today conducted enhanced medical screenings americans returning home impacted areas
DHS_Wolf	2020-03-21 10:42:49	tune fox friends 8am discuss joint measures usa mexico canada implementing borders protect citizens coronavirus still allow essential trade travel
DHS_Wolf	2020-03-20 20:20:00	working collaboratively together taking north american approach stopping spread coronavirus us mexico temporarily restricting non-essential travel across borders effective march
DHS_Wolf	2020-03-20 19:31:17	working collaboratively together taking north american approach stopping spread coronavirus us canada temporarily restricting non-essential travel across borders effective march
DHS_Wolf	2020-03-19 23:02:39	tune digital live tonight discuss coronavirus related travel restrictions process americans return us today visit vp potus
DHS_Wolf	2020-03-19 13:26:28	workforce fighting coronavirus spread critical times awe men women stand watch secure homeland thank every day protect american people full video
DHS_Wolf	2020-03-18 20:48:20	u canada working closely together suspending non-essential travel across northern border help control spread coronavirus essential commercial trade travel commerce impacted maintain secure strong economic supply chain
DHS_Wolf	2020-03-18 12:38:00	read new guidelines americans help slow spread coronavirus next days
DHS_Wolf	2020-03-17 19:17:25	coronavirus serious public health issue asking every american part help slow spread protect vulnerable neighbors wash hands avoid large social gatherings travel self-quarantine unwell contact health provider
DHS_Wolf	2020-03-17 17:39:26	dhs working front lines stop spread coronavirus us enhanced entry screening travelers affected areas screened travelers impacted countries specially designated airports
DHS_Wolf	2020-03-16 16:43:15	average wait times sunday americans returning home coronavirus affected areas minutes line normal customs wait times international arrivals great work continue strong efforts keep americans safe
DHS_Wolf	2020-03-16 12:14:05	text message rumors national quarantine fake national lockdown continue post
DHS_Wolf	2020-03-15 00:22:51	cbp officers seized suspected counterfeit covid-19 test kits at-home covid-19 test kits found online fake authorized testing
DHS_Wolf	2020-03-14 23:23:47	national emergency declaration working state local authorities prepare respond coronavirus wherever needed professionals tested proven experts managing emergency situations
DHS_Wolf	2020-03-14 02:33:40	facts coronavirus travel restrictions simple explanation restrictions apply
DHS_Wolf	2020-03-13 23:30:34	us citizens legal permanent residents families returning home coronavirus affected country travel one airports self quarantine home
DHS_Wolf	2020-03-10 15:32:16	keep around safe coronavirus
DHS_Wolf	2020-03-09 17:50:33	always great job men women work weekend bring medical supplies coronavirus affected cruise ship california also medevac-ing individuals unrelated medical conditions semperparatus
DHS_Wolf	2020-03-03 19:35:00	good discuss fy21 budget policy priorities house committee homeland security morning department continues lean forward election security coronavirus border security
DHS_Wolf	2020-02-24 21:15:00	overall coronavirus threat american public remains low thx measures taken early fed gov agencies working ensure safety american people visit cdc information
DHS_Wolf	2020-02-13 13:00:00	working hard keep congress informed coronavirus appreciate support dhs ongoing work air land sea ports protect homeland threat
DHS_Wolf	2020-02-03 23:42:41	tune tonight discuss work keep americans safe coronavirus new travel visa restrictions progress making southwest border
DHS_Wolf	2020-01-25 22:04:35	leading gov efforts coronavirus taking prudent necessary precautions components keep employees homeland safe secure info coronavirus visit cdc
EPAAWheeler	2020-04-02 18:11:28	reality current covid19 pandemic presents unprecedented situation impacts areas states
EPAAWheeler	2020-04-02 18:07:33	nation faces unprecedented situation covid19 presents imminent health risk workers across america today letter congressional leadership sets record straight epa continues enforce nation environmental laws
EPAAWheeler	2020-04-02 18:06:17	epa temporary policy created response inquiries states regulated community epa inundated questions handle current covid-19 situation stay home orders increasing number people diagnosed quarantine
EPAAWheeler	2020-04-02 18:03:22	enforcing environmental laws protect human health cornerstone work epa admin despite false reporting recent enforcement guidance essential protecting environment helping national effort combat covid19
EPAAWheeler	2020-04-01 18:43:34	together slow spread covid19 recent guidelines americans
EPAAWheeler	2020-03-27 20:08:24	research methods reduce risks environmental transmission coronavirus via contaminated surfaces materials expediting registration actions related pesticides address coronavirus
EPAAWheeler	2020-03-27 16:18:27	obama epa officials check records allowed criminal enforcement slip trump epa acting responsibly pandemic
EPAAWheeler	2020-03-23 14:42:46	epa taken swift action approve surface disinfectants use covid19 americans must adhere guidance health safety nation latest news visit
EPAAWheeler	2020-03-20 17:42:57	epa collaboration w private sector critical slowing spread covid19 expediting reviews labeling familiar products approving new products market aiding american communities fight coronavirus
EPAAWheeler	2020-03-20 13:18:44	correct prevail together applaud coronavirus task force round-the-clock work protect health safety nation
EPAAWheeler	2020-03-19 16:52:48	icymi delivered latest updates federal government response covid19 latest information visit
EPAAWheeler	2020-03-17 18:26:30	guidance addition continued use approved surface disinfectants regular hand washing help keep vulnerable populations safe covid19
EPAAWheeler	2020-03-13 20:36:45	president continues show strong leadership time national emergency taking swift actions reduce spread covid-19 looking health safety security americans across great nation
EsperDoD	2020-04-07 00:59:50	good call last week senator working aid washington state country covid19
EsperDoD	2020-04-06 20:52:03	good call help serve people pennsylvania covid19
EsperDoD	2020-04-06 16:00:37	since mid-january worked combat covid19 issued force protection guidance 31jan military ahead curve facts gt rumors
EsperDoD	2020-04-06 15:11:27	proud swift work constructing new medical facility nola covid19
EsperDoD	2020-04-01 22:29:18	covid19 stop protecting american people illegal drugs direction additional u ships aircraft security forces underway disrupt narcotics trafficking
EsperDoD	2020-04-01 16:37:50	working states governors mayors wholeofnation response build medical facilities across u ahead covid19 curve
EsperDoD	2020-04-01 13:00:25	stands forefront advanced technology battling pandemics working reduce impact covid19 listen pandemic prevention podcast info killthevirus
EsperDoD	2020-03-31 22:01:25	timely interview tonight discuss dod wholeofnation approach combat covid19
EsperDoD	2020-03-31 19:13:18	good call indonesian defense minister discuss growing defense partnership coordinate covid19 relief efforts killthevirus
EsperDoD	2020-03-31 18:14:28	productive call working hard protect great people georgia stands ready support federal state local response efforts combat covid19
EsperDoD	2020-03-31 17:14:53	constructive call today french defense minister together strong allies like overcome covid19
EsperDoD	2020-03-30 17:58:21	strong call week taking decisive action protect texas covid19 pandemic dod stands ready support federal state local response efforts combat covid19
EsperDoD	2020-03-30 16:26:14	proud fight shoulder shoulder people nyc covid19
EsperDoD	2020-03-29 15:38:55	false statements u service members causing covid19 outbreak china irresponsible facts gt myths
EsperDoD	2020-03-28 16:33:08	rapid transformation ny jacobjavitz convention center via ny army national guard soldiers 133rd composite supply company nyc covid19
EsperDoD	2020-03-26 22:58:23	directed gets underway new york saturday assist civilian hospitals w non-coronavirus patients proud military medical professionals dedicated american people whole-of-government fight covid19
EsperDoD	2020-03-26 19:11:27	congratulations doctors nurses joining team missing traditional graduation ceremony joining critical team uniformed services university graduates helping fight covid19 pandemic
EsperDoD	2020-03-26 18:44:16	continue stand support entire government responding combating covid19 visit guidance updated
EsperDoD	2020-03-26 15:08:47	imperative practice social distancing avoid unnecessary travel slow spread covid19 people ages healthiness need follow guidelines part visit additional guidance
EsperDoD	2020-03-26 03:29:08	regardless long covid19 outbreak lasts continue prioritize safety people maintain readiness capabilities support nation long needed
EsperDoD	2020-03-26 00:48:00	help get reminding social distancing finding different ways perform mission accomplish still achieving guidelines set aligned day plan slow spread covid19
EsperDoD	2020-03-26 00:38:51	covid19 spreads worldwide important us help allies supplies doctors assistance adversaries may attempt act different ways dod must remain vigilant deal challenges front us
EsperDoD	2020-03-25 20:54:03	hospital ship usnsmercy deployed los angeles help covid19 response expected arrive friday continue work interagency partners assist effort
EsperDoD	2020-03-25 17:43:43	grateful opportunity speak service members families dod civilians time great challenge yesterday virtual town hall meeting discuss protect people families covid19
EsperDoD	2020-03-25 16:12:44	proud military medical experts including hospital ships usnsmercy rapidly preparing assist overwhelmed civilian hospitals non-coronavirus patients deal covid19 cases expertise greatly appreciated
EsperDoD	2020-03-24 19:30:32	could proud work defense team help combat covid19 pandemic working alongside skilled professionals tirelessly striving help end global crisis together overcome
EsperDoD	2020-03-24 18:16:12	military medical teams providing top quality care across globe affected covid19 medical professionals working tirelessly front lines taking actions slow spread care service members families
EsperDoD	2020-03-23 22:06:19	dramatically decrease risk infection slow covid-19 spread visit updated guidance
EsperDoD	2020-03-23 22:06:19	continue assess covid19 order protect people instituting risk assessments medical evaluations health screenings dod service members personnel recently traveled
EsperDoD	2020-03-23 20:59:58	received update commander gen abrams today usfk response covid19 confident leadership increased preventative measures region mitigate spread coronavirus
EsperDoD	2020-03-23 20:40:56	tomorrow edt genmilley seac4 ramon cz colon-lopez host virtual town hall allow service members families dod civilians opportunity ask questions covid19 response
EsperDoD	2020-03-23 16:08:23	part whole nation response leaning forward surging people capabilities researchers equipment slow spread covid19 read believe win fight together op-ed
EsperDoD	2020-03-21 15:33:35	dod committed assisting service members impacted covid19 top priority comes combating virus protecting force families encourage visit date information
EsperDoD	2020-03-20 22:33:18	afternoon spoke state tags gen lyngel ongoing efforts support state local governments combat covid19
EsperDoD	2020-03-20 15:18:52	please visit updates dod response covid19 additional guidance
EsperDoD	2020-03-20 15:18:51	productive phone call indian defmin rajnath singh discuss ongoing efforts respond covid19 pandemic along defense cooperation activities look forward growing partnership two nations
EsperDoD	2020-03-20 12:08:35	department remains committed part administration comprehensive fight covid19 enhancing safety personnel helping stay healthy making sure able continue executing mission
EsperDoD	2020-03-19 14:43:57	one top priorities protect personnel continue implement 15-day plan dod employees continue implement social distancing limiting cancelling in-person meetings gatherings protect force families spread covid19
EsperDoD	2020-03-18 21:57:03	dod continues support whole government approach combating covid19 week spoke governors dod support response efforts
EsperDoD	2020-03-18 20:00:19	speaking evening tune updates supporting administration whole government efforts combat covid19
EsperDoD	2020-03-18 19:02:33	today joined give update effort support administration whole government approach continue support combat covid19
EsperDoD	2020-03-18 17:49:30	spoke yesterday ongoing efforts support administration whole government approach combatting covid19
EsperDoD	2020-03-18 12:45:32	stands full support entire interagency whole government approach responding covid19 please visit additional guidance
EsperDoD	2020-03-17 22:00:30	service members recently traveled travel health advisory level level country stay home days practice social distancing self-monitor potential symptoms covid19 including taking temperature twice day
EsperDoD	2020-03-17 20:34:35	thank team giving opportunity visit us army medical research institute infectious diseases today research done critical supporting fight covid19 usamriid
EsperDoD	2020-03-17 20:06:30	one top priorities protection service members families civilian work-force work done assist whole government approach combat covid19
EsperDoD	2020-03-17 17:02:56	met brig gen mike talley commander team professionals usamrdc update contributing efforts fight covid19
EsperDoD	2020-03-17 16:41:01	arrived us army medical research development command appreciate hard work individuals working fortdetrick detect prevent treat covid19 usamrdc usamriid
EsperDoD	2020-03-17 12:24:13	department continue support whole government approach effort combat virus important part mitigate spread coronavirus please visit additional guidance
EsperDoD	2020-03-17 12:24:12	yesterday issued day plan slow spread covid19 help protect nation health new guidance encourages avoid social gatherings people avoid personal travel use drive-through pickup delivery options eating
EsperDoD	2020-03-17 01:32:22	encourage continue practicing preventative measures avoid covid19 spread wash hands frequently avoid touching face disinfect frequently used surfaces often possible
EsperDoD	2020-03-16 15:32:20	since covid19 outbreak began taken host actions including issuing new travel restrictions areas determined pose greatest risk exposure
EsperDoD	2020-03-16 12:33:55	continue assess covid19 dod instituting risk assessments medical evaluations health screenings dod service members personnel recently traveled medical professionals ensuring everyone getting care need
EsperDoD	2020-03-14 18:06:40	continuing ensure commanders across force authority resources need act decisively response covid19 situation evolves
EsperDoD	2020-03-13 21:55:25	week commander gen mckenzie commander adm faller commander gen abrams joint staff surgeon brig gen friedrichs briefed press us counter terror operations dod coronavirus response efforts
EsperDoD	2020-03-13 14:01:23	department remains committed part administration comprehensive fight coronavirus enhancing safety personnel helping stay healthy making sure able continue executing mission
EsperDoD	2020-03-12 19:04:11	remain committed administration comprehensive fight covid19 working keep service members healthy please visit additional guidance
EsperDoD	2020-03-12 19:04:11	continuing monitor covid19 efforts fulfill top priorities protecting service members families safeguarding national security missions capabilities supporting interagency whole-of-government approach combating virus
EsperDoD	2020-03-12 15:55:05	dod continue follow guidance countries risk assessments issue guidance w regard covid19 safety force remains biggest concern encourage everyone visit info staying healthy outbreak
EsperDoD	2020-03-12 15:55:03	work interagency partners mitigate risk spread covid19 want ensure service members families dod civilians personnel safe possible one top priorities remains protection welfare people
EsperDoD	2020-03-11 20:36:59	know symptoms look think may impacted covid19 preventative steps take
EsperDoD	2020-03-11 14:00:01	encourage service members families take extra precautions home protect covid19 please visit cdc website updated guidance
EsperDoD	2020-03-10 15:30:44	working tirelessly ensure dod remains prepared short long term contingencies well ready support domestic international situations may arise response covid19 continue share cdc guidance becomes available
EsperDoD	2020-03-09 17:31:40	number one priority safeguarding service members families home across globe response covid19 dod working continuously w interagency whole government approach
EsperDoD	2020-02-28 14:32:01	great visit w homeland defense integration defense support civil authorities office forefront dod team covid19 response
EsperDoD	2020-02-03 20:58:38	today spoke commander gen shaughnessy dod response coronavirus outbreak everything possible safeguard personnel highest priority protection members families base communities
RichardGrenell	2020-04-06 12:33:23	austria first european country start exiting coronavirus lockdown already plan fully r
RichardGrenell	2020-03-24 23:52:31	u prepared pandemic country johns hopkins study found
RichardGrenell	2020-03-20 10:42:40	saw wkend disinfo spread online supposed national lockdown grounding flights skeptical
RichardGrenell	2020-03-19 01:10:53	praying doctors nurses usa around world front lines covid_19
RichardGrenell	2020-03-16 16:32:25	make clear coronavirus curevac received us government related entities offer
RichardGrenell	2020-03-16 10:25:23	text message rumors national quarantine fake national lockdown continue post
RichardGrenell	2020-03-10 21:07:47	keep around safe coronavirus
RichardGrenell	2020-03-03 13:32:00	u stands people iran public health crisis caused covid-19 calls full transp
RichardGrenell	2020-03-02 13:34:14	reduce risk new coronavirus covid19
RichardGrenell	2020-02-28 13:35:54	doctors inside iran believe coronavirus serious reported
RichardGrenell	2020-02-27 01:32:15	commend strong remarks tonight coronavirus prepared worst working ov
RussVought45	2020-04-01 18:14:30	regulations waived help fight covid19 via many regs neverneeded first place
RussVought45	2020-03-18 02:22:05	tandem president coronavirus guidelines america guidance provides agencies departments direct
RussVought45	2020-03-16 01:39:42	updated guidance national capital region telework flexibilities response coronavirus
SBAJovita	2020-04-04 22:07:38	last hrs reactivated licenses community banks credit unions sizes get money smallbusinesses asap sba continues work around clock help small businesses stay open unprecedented time smallbusinessrelief covid19
SBAJovita	2020-04-04 19:47:52	part fight spread coronavirus practicing good hygiene
SBAJovita	2020-04-04 18:54:25	every american affected covid19 impact pandemic disproportionately impacting underrepresented communities sick elderly lower income vitally important orgs focused delivering critical social services remain viable
SBAJovita	2020-04-04 18:46:10	today issued guidance clarifying eligibility faith-based organizations impacted covid19 participate paycheckprotectionprogram economic injury disaster loan program
SBAJovita	2020-04-03 21:32:05	latest paycheckprotectionprogram numbers loans approved valued mission help small businesses keep employees payroll fight vs covid19
SBAJovita	2020-04-01 21:59:01	part slow spread cornavirus covid19
SBAJovita	2020-04-01 03:41:42	paycheck protection program small businesses less employees including sole proprietorships independent contractors self-employed persons private non-profit organizations c veterans organizations affected covid19 eligible apply
SBAJovita	2020-03-31 21:05:11	cares act establishes new billion paycheck protection program unprecedented public-private partnership going assist small businesses accessing capital quickly covid19
SBAJovita	2020-03-31 17:21:27	covid19 update due caresact small businesses non-profits get advance economic injury
SBAJovita	2020-03-30 19:36:17	doctors healthcare workers front lines covid19 fight thank nationaldoctorsday
SBAJovita	2020-03-25 13:58:58	website currently undergoing continued scheduled improvements maintenance info sba covid19 resources
SBAJovita	2020-03-23 17:03:24	rumors often circulate times crises created rumor control center facts covid19
SBAJovita	2020-03-23 16:19:08	information covid19 assistance visit
SBAJovita	2020-03-23 16:00:42	one growing list actions taking support small businesses including making easier states territories request covid19 disaster declaration changing terms new economic injury loans allow one-year deferments
SBAJovita	2020-03-23 15:59:52	looking every option taking every action cut red tape make easier small businesses stay business automatically deferring existing sba disaster loans end year help borrowers unprecedentd time covid19
SBAJovita	2020-03-22 18:01:31	covid19 update economic injury disaster loans available small businesses alaska american samoa guam iowa
SBAJovita	2020-03-21 19:15:52	covid19 update economic injury disaster loans available small businesses alabama minnesota puerto rico
SBAJovita	2020-03-21 18:57:37	covid19 update economic injury disaster loans available small businesses hawaii nebraska north dakota ok
SBAJovita	2020-03-21 00:48:56	welcome news kentucky small businesses confronting coronavirus extending critical low-interest
SBAJovita	2020-03-20 22:33:07	covid19 update economic injury disaster loans available small businesses arkansas south dakota texas
SBAJovita	2020-03-20 20:41:04	update covid19 economic injury disaster loans available small businesses kentucky mississippi tennessee
SBAJovita	2020-03-20 12:05:53	yesterday signed additional covid19 declarations enabling small businesses states apply economic injury disaster loans come please visit learn
SBAJovita	2020-03-20 11:57:05	covid19 update economic injury disaster loans available small businesses az ca co il la mi oh pa sc v
SBAJovita	2020-03-19 13:31:28	update covid19 economic injury disaster loans available small businesses de fl ga nh nj
SBAJovita	2020-03-19 03:57:42	earlier today signed eight additional covid19 disaster declarations information please visit
SBAJovita	2020-03-18 17:56:25	todos podemos ayudar prevenir la propagaci n de covid19 llame su dico si tiene ntomas ha estado en contacto
SBAJovita	2020-03-18 14:45:42	america full cooperation turn corner coronavirus
SBAJovita	2020-03-18 14:19:43	mike pence need american people help fight coronavirus covid19
SBAJovita	2020-03-18 11:57:45	urge americans follow president coronavirus guidelines next days slowth
SBAJovita	2020-03-18 02:51:41	update covid19 economic injury disaster loans available small businesses montana new mexico utah
SBAJovita	2020-03-18 02:14:55	today signed covid19 disaster declarations district columbia five additional states montana nevada new mexico rhode island utah small business owners areas interested disaster loan learn
SBAJovita	2020-03-17 22:18:35	update covid19 economic injury disaster loans available small businesses dc nevada rhode island
SBAJovita	2020-03-17 19:21:45	continues assist small businesses additional covid19 resources including counseling navigating preparedness plans network across country info sba help please visit
SBAJovita	2020-03-17 19:15:10	relaxed criteria two immediate impacts faster easier qualification process states seeking covid19 disaster assistance expanded statewide access sba disaster assistance loans small businesses
SBAJovita	2020-03-17 19:11:05	today part president aggressive efforts combat coronavirus outbreak minimize economic disruption issued revised criteria states territories seeking covid19 economic injury declaration read
SBAJovita	2020-03-17 01:56:29	committed providing disaster loans small businesses unprecedented time currently issued economic injury disaster loans four states continue work state governors ensure access loans covid19
SBAJovita	2020-03-17 01:08:51	covid19 economic injury disaster loans available small businesses states ca ct wa com
SBAJovita	2020-03-16 20:43:47	today president released new guidelines slow spread covid19 full details
SBAJovita	2020-03-14 02:27:03	today visited dallas disaster assistance processing disbursement center opportunity visit hardworking staff remain committed assisting small business owners impacted covid19
SBAJovita	2020-03-14 00:28:08	u continues whole america response coronavirus important prepare smallbusiness
SBAJovita	2020-03-14 00:24:31	sba economic injury disaster loans offer million assistance small business loans provide vital economic support help overcome temporary loss revenue visit information covid19
SBAJovita	2020-03-14 00:23:08	working closely governors make million targeted low-interest disaster recovery loans available small business enterprise severely impacted covid19
SBAJovita	2020-03-14 00:22:14	strongly committed providing effective customer-focused response possible support small businesses incurred substantial economic loss result covid19
SBAJovita	2020-03-14 00:21:11	president declaration coupled administration unprecedented efforts mobilize involve full force federal government private sector help save lives reduce economic disruptions every community covid19
SBAJovita	2020-03-14 00:19:23	president decision declare national emergency represents another significant step reducing barriers public health protecting america million small businesses threat posed covid19
SBAJovita	2020-03-12 18:11:03	full statement president address nation available covid19
SBAJovita	2020-03-12 17:11:15	u continues whole america response coronavirus important prepare smallbusiness
SBAJovita	2020-03-12 17:11:12	coronavirus tips small businesses encourage sick employees stay home instruct employees wash hands oft
SBAJovita	2020-03-12 16:31:48	continues assist small businesses counseling navigating preparedness plans network district offices numerous resource partners located around country find local assistance covid19
SBAJovita	2020-03-12 16:31:12	additional guidance businesses employers plan respond covid19 available
SBAJovita	2020-03-12 16:30:38	work directly directly state governors provide targeted low-interest disaster recovery loans small businesses severely impacted read covid19 disaster relief
SBAJovita	2020-03-12 16:29:44	president took bold decisive action make million small businesses resilient economic disruptions related covid19 small businesses vital economic engines helped make economy strongest world
SecAzar	2020-04-06 21:41:31	live press briefing coronavirus task force
SecAzar	2020-04-06 21:16:12	next coronavirus task force hold briefing watch live
SecAzar	2020-04-06 19:45:34	whole-of-america response covid19 continues federal agencies work around clock keep communities safe
SecAzar	2020-04-06 19:45:25	fight covid19 whole-of-america effort look twitter moment see work many partners
SecAzar	2020-04-06 16:36:17	calling every american part whole-of-country response covid19 take important steps help slowthespread fight together
